Date,Food,Clths,Durbl,Chems,Cnsum,Cnstr,Steel,FabPr,Machn,Cars,Trans,Utils,Rtail,Finan,Other,Mkt,RF
1929-02-01,  -1.61,  -0.35,  -5.97,  -0.24,  -4.07,  -3.41,   8.83,   7.34,  -1.24,   0.35,  -1.20,  -1.99,  -2.42,   0.92,   0.01,  -0.34   0.36,   0.36
1929-03-01,  -4.86,  -6.63,  -7.80,  -3.53,  -4.22,  -5.76,  -0.09,   1.75,  -2.37,  -1.57,  -2.51,  -3.18,  -5.09,  -1.15,   6.09,  -0.85   0.34,   0.34
1929-04-01,   3.43,   3.32,   0.32,   3.88,  -1.54,   3.48,   1.15,  10.99,   3.51,  -0.88,   1.16,   5.02,   3.77,   3.26,   1.30,   1.47   0.36,   0.36
1929-05-01,  -5.46, -10.89, -10.26,  -7.05,  -2.26,  -6.95, -12.42,  -6.49,  -0.24, -15.35,   1.41,   4.68,  -8.68,  -5.88,  -9.06,  -6.38   0.44,   0.44
1929-06-01,   8.29,   3.83,  16.80,  20.06,   1.03,   5.39,  10.71,  12.66,  17.91,   6.65,   6.47,  23.48,   9.58,   6.33,  12.12,   9.70   0.52,   0.52
1929-07-01,   4.66,  -3.79,   8.47,   5.30,   2.04,   5.49,   3.47,   4.67,   9.77,  -3.71,   7.82,   9.17,   1.09,   8.39,   7.17,   4.48   0.33,   0.33
1929-08-01,   3.98,   0.52,   7.24,  11.95,   6.18,   2.90,  11.82,   9.78,   9.94,   2.71,   7.48,   9.01,   8.07,   5.42,  10.22,   8.14   0.40,   0.40
1929-09-01,  -2.34,  -3.62,   6.82,  -7.03,  -6.18,  -2.39,  -8.97,  -5.17,  -5.92,  -9.32,  -7.89,   0.92,  -5.55,  -5.20,  -3.15,  -5.45   0.35,   0.35
1929-10-01, -14.97, -18.27, -33.53, -24.91,  -5.23, -15.95, -15.57, -21.61, -25.23, -28.44,  -9.80, -29.72, -24.01, -29.33, -18.69, -20.07   0.46,   0.46
1929-11-01,  -9.63, -11.53, -12.55, -16.22,  -7.07, -10.30, -13.82, -16.04, -16.19, -17.62,  -8.03, -15.37, -12.39, -14.17, -12.53, -12.87   0.37,   0.37
1929-12-01,   0.02,  -1.92,   3.85,   6.63,   1.90,  -1.39,  -0.44,   5.54,   8.06,   5.06,   0.34,   8.16,  -6.12,   0.05,   0.15,   1.28   0.37,   0.37
1930-01-01,   4.64,   7.25,   3.50,   8.03,   8.20,   7.16,   5.69,   8.57,  13.34,   5.65,   3.72,   8.51,   4.72,   9.74,   2.10,   5.61   0.14,   0.14
